State-wise Number and Percentage of Population ,,,,,,
Below Poverty Line (BPL) in India,,,,,,
(1977-1978),,,,,,
States/UTs,Rural,,Urban,,Combined,
,No. of Persons (Lakh),Percentage of Persons,No. of Persons (Lakh),Percentage of Persons,No. of Persons (Lakh),Percentage of Persons
Andhra Pradesh,149.13,38.11,48.41,43.55,197.54,39.31
Arunachal Pradesh,3.26,59.82,0.1,32.71,3.36,58.32
Assam,97.55,59.82,5.83,32.71,103.38,57.15
Bihar,364.48,63.25,37.34,48.76,401.82,61.55
Goa,2.72,37.64,1.16,36.31,3.88,37.23
Gujarat,92.53,41.76,38.35,40.02,130.88,41.23
Haryana,26.43,27.73,9.05,36.57,35.48,29.55
Himachal Pradesh,12.46,33.49,0.58,19.44,13.04,32.45
Jammu & Kashmir,19.04,42.86,2.68,23.71,21.72,38.97
Karnataka,120.39,48.18,47.78,50.36,168.17,48.78
Kerala,102.85,51.48,24.37,55.62,127.22,52.22
Madhya Pradesh,247.98,62.52,54.89,58.66,302.87,61.78
Maharashtra,249.75,63.97,80.16,40.09,329.91,55.88
Manipur,6.09,59.82,0.97,32.71,7.06,53.72
Meghalaya,6.1,59.82,0.69,32.71,6.79,55.19
Mizoram,2.03,59.82,0.28,32.71,2.31,54.38
Nagaland,3.44,59.82,0.3,32.71,3.74,56.04
Orissa,162.5,72.38,13.82,50.92,176.32,70.07
Punjab,18.87,16.37,11.36,27.32,30.23,19.27
Rajasthan,89.66,35.89,27.22,43.53,116.88,37.42
Sikkim,1.41,59.82,0.13,32.71,1.54,55.89
Tamil Nadu,182.5,57.68,72.97,48.69,255.47,54.79
Tripura,9.95,59.82,0.66,32.71,10.61,56.88
Uttar Pradesh,407.41,47.6,96.96,56.23,504.37,49.05
West Bengal,259.69,68.34,50.88,38.2,310.57,60.52
Andaman & Nicobar Islands,0.71,57.68,0.2,48.69,0.91,55.42
Chandigarh,0.08,27.32,0.95,27.32,1.03,27.32
Dadra & Nagar Haveli,0.33,37.64,0.16,36.31,0.49,37.2
Delhi,1.35,30.19,16.81,33.51,18.16,33.23
Lakshadweep,0.13,51.48,0.07,55.62,0.2,52.79
Pondicherry,1.65,57.68,1.35,48.69,3,53.25
India,2642.47,53.07,646.48,45.24,3288.95,51.32
,,,,,,
"Note : Poverty ratio of Assam is used for Sikkim, Arunachal Pradesh, Meghalaya,",,,,,,
"           Mizoram, Manipur, Nagaland and Tripura.",,,,,,
           Poverty ratio of Tamil Nadu is used for Pondicherry and Andaman &,,,,,,
           Nicobar Islands.,,,,,,
           Poverty ratio of Kerala is used for Lakshadweep.,,,,,,
           Poverty ratio of Goa is used for Dadra & Nagar Haveli.,,,,,,
           Urban poverty ratio of Punjab is used for both rural and urban,,,,,,
           poverty of Chandigarh.,,,,,,
           Poverty line of Maharashtra and expenditure distribution of,,,,,,
           Goa is used to estimate poverty ratio of Goa.,,,,,,
" Compiled from the statistics released by : Planning Commission,  Govt. of India. ",,,,,,
,,,,,,
,,,,,,
  ,,,,,,
"Year: Period of fiscal year in India is April to March, e.g. year shown as 1990-91 relates to April 1990 to March 1991. ",,,,,,
